Tektronix PWRVIEW measurement snap-shot
Created, Thursday, 28 August 2014, 14:31:23
PA1000(0122),S/N C010122,Ver.1.001.006
Meas,PA1000(0122) 1
Ah12p,20.351 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah13m,21.593 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah13p,-71.783 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah14m,19.979 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah14p,-166.58 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah15m,18.329 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah15p,98.978 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah16m,16.446 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah16p,480.04 m°  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah17m,15.069 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah17p,-89.044 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah18m,13.503 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah18p,177.63 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah19m,12.006 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah19p,84.896 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah20m,10.593 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah20p,-14.176 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah21m,9.2901 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah21p,-98.287 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah22m,8.1397 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah22p,171.66 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah23m,7.1379 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah23p,82.984 °   ,,,,,,,,,,,,,,,,,,,,,,,,,
Ah24m,6.3135 mA  ,,,,,,,,,,,,,,,,,,,,,,,,,
